year,month,meter_id,measurement_type,meter_type,suburb,usage_type,monthly_total,monthly_avg,monthly_max,days_active
2022,7,26934771,Pulse1,captis_pulse,maroochydore,non-residential,3357.0,76.45434782608694,227.0,2
2022,7,64296852,DeviceTemperature,captis_pulse,buderim,non-residential,13.11,13.11,13.11,1
2022,7,67074,Pulse1,captis_pulse,kuluin,residential,183.0,3.7941176470588234,65.0,2
2022,7,67074,Pulse1_Total,captis_pulse,kuluin,residential,2.4541209E7,570697.9208144797,571011.0,2
2022,7,67074,DeviceTemperature,captis_pulse,kuluin,residential,12.79,12.79,12.79,1
2022,7,81964841,Pulse1,captis_pulse,kuluin,residential,51.0,1.59375,49.0,2
2022,7,81964841,Pulse1_Total,captis_pulse,kuluin,residential,3773455.0,222002.1875,222041.0,2
2022,7,81964841,DeviceTemperature,captis_pulse,kuluin,residential,16.6,16.6,16.6,1
2022,7,10272,Pulse1,captis_pulse,buderim,residential,437.0,7.8432539682539675,117.0,2
2022,7,10272,Pulse1_Total,captis_pulse,buderim,residential,1.9322832E7,420027.2281746032,420517.0,2
2022,7,60195138,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,2
2022,7,60195138,Pulse1_Total,captis_pulse,buderim,residential,1140.0,30.0,30.0,2
2022,7,60195138,DeviceTemperature,captis_pulse,buderim,residential,32.9,16.45,20.9,2
2022,7,60195138,Battery,captis_pulse,buderim,residential,3.64,3.64,3.64,1
2022,7,61233611,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,2
2022,7,61233611,Pulse1_Total,captis_pulse,buderim,residential,1344.0,32.0,32.0,2
2022,7,61233611,Battery,captis_pulse,buderim,residential,73.63,36.815,70.0,1
2022,7,65088476,Pulse1,captis_pulse,buderim,residential,900.0,20.384615384615387,90.0,2
2022,7,65088476,DeviceTemperature,captis_pulse,buderim,residential,32.6,16.3,20.2,2
2022,7,65088476,Battery,captis_pulse,buderim,residential,74.57199999999999,24.85733333333333,69.0,1
2022,7,593686,Pulse1,captis_pulse,buderim,residential,218.0,4.953431372549019,48.0,2
2022,7,593686,Pulse1_Total,captis_pulse,buderim,residential,1.1150361E7,271919.4705882353,272233.0,2
2022,7,593686,DeviceTemperature,captis_pulse,buderim,residential,25.2,12.6,16.0,2
2022,7,60192782,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,2
2022,7,60192782,Pulse1_Total,captis_pulse,buderim,residential,0.0,0.0,0.0,2
2022,7,60192782,DeviceTemperature,captis_pulse,buderim,residential,22.6,22.6,22.6,1
2022,7,65059861,Pulse1,captis_pulse,scarborough,residential,1000.0,58.8235294117647,150.0,1
2022,7,65059861,Pulse1_Total,captis_pulse,scarborough,residential,1.5144894E7,890876.1176470588,892312.0,1
2022,7,313802,Pulse1,captis_pulse,buderim,residential,79.0,1.8094629156010231,18.0,2
2022,7,313802,Pulse1_Total,captis_pulse,buderim,residential,1.855954E7,463978.62148337596,464086.0,2
2022,7,313802,DeviceTemperature,captis_pulse,buderim,residential,32.58,16.29,17.9,2
2022,7,61279693,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,2
2022,7,61279693,Pulse1_Total,captis_pulse,buderim,residential,1470.0,35.0,35.0,2
2022,7,61279693,DeviceTemperature,captis_pulse,buderim,residential,33.1,16.55,22.0,2
2022,7,61279693,Battery,captis_pulse,buderim,residential,2.043,2.043,2.043,1
2022,7,61554723,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,2
2022,7,61554723,Pulse1_Total,captis_pulse,buderim,residential,1271.0,31.0,31.0,2
2022,7,61554723,DeviceTemperature,captis_pulse,buderim,residential,31.49,15.745,16.9,2
2022,7,61554723,Battery,captis_pulse,buderim,residential,74.55699999999999,24.85233333333333,66.0,1
2022,7,62293883,Pulse1,captis_pulse,buderim,residential,331.0,8.276960784313726,111.0,2
